French,Tamazight_Kabyle,LLM_Translation
"« Je t'aimais, Marie. » « Alors pourquoi m'as-tu trahie ? »","Ḥemmelɣ-kem a Marie. ""Acuɣeṛ i yi-txedɛeḍ ?""","« Ḥemmleɣ-kem, a Marya. » « Ihi acuɣer i yi-txedɛeḍ? »"
Les peuples nomades suivent l'eau et les pâturages.,Igduden yettinigen ṭṭafaṛen aman d tzegzewt.,Igduden inejjalen ttabaɛen aman d yikessawen.
Salutations à vous deux !,Azul fell-awen i sin!,Azul fell-awen i sin
Cela fait longtemps que je n'ai plus eu de nouvelles de Marie ; j'espère qu'elle va bien.,Aṭas-aya ma yewweḍ-iyi lexbeṛ n Marie ; ssarameɣ ur tt-yuɣ walu.,Aṭas aya ur sliɣ s lexbar n Marie ; ssarameɣ t-ella deg lxiṛ.
C'est exactement ce dont nous avons besoin.,Swaswa kan d ayen i nuḥwaǧ.,D ayen swaswa i neḥwaǧ.
C'est exactement ce dont on a besoin.,Swaswa d ayen i nuḥwaǧ.,D ayen i nesra swaswa.
C'est exactement ce qu'il nous faut.,Swaswa d ayen i ɣ-ilaqen.,D ayen i nḥwaǧ swaswa.
Comment puis-je l'oublier ?,Amek i zemreɣ ad t-ttuɣ?,Amek i zemreɣ ad t-ttugh?
Peut-on parler de ce qu'il s'est passé la nuit dernière ?,Nezmer ad nehḍer ɣef wayen yeḍṛan id iɛeddan?,Nezmer ad nemmeslay ɣef wayen i d-yeḍran iḍ yezrin?
Tom sera célèbre.,Ad yuɣal Tom mucaɛ.,Tom ad yili d amechhur.
Je ne sais pas qui a besoin de faire ça.,Ur ẓṛiɣ ara anwa i yuḥwaǧen ad yexdem annect-a.,Ur zriɣ ara anwa i iḥwaǧen ad ixdem aya.
"Ne la crois pas, parce qu'elle ment toujours.",Ur tt-ttamen ara axaṭer dima teskidib.,"Ur tt-ttamen ara, acku tskerkis daymen."
C'est dur à croire que Tom n'était pas conscient que Mary était amoureuse de lui.,Yuɛeṛ ad tamneḍ belli Tom ur iẓṛi ara belli tḥemmel-it Mary.,Iwaɛer ad t-tamneḍ belli Tom ur yeẓri ara belli Mary tḥemmel-it.
Tom jeta les vêtements de sa copine dans le feu.,Tom iḍeqqeṛ iceṭṭiḍen n temdakelt-is ar tmes.,Tom iḍegger iceṭṭiḍen n tmeddakult-is deg tmes.
Il m'a donné un livre.,Ifka-yi-d adlis.,Yefka-yi-d adlis.
Il m'a donné un livre.,Ifka-yi-d taktubt.,Yefka-yi-d adlis.
Thomas a acheté une bouteille d'huile d'olive.,Yuɣ-d Tomas taqeṛɛunt n zzit uzemmur.,Thomas yuɣ-d taqerɛet n zzit uzemmur.
Obéis à ton grand frère.,Aɣ-as awal i gma-k ameqqṛan!,Aɣ awal i gma-k ameqqran.
Tom a goûté le gâteau.,Tom iɛṛeḍ taẓidant-nni.,Yecreḍ Tom agatu.
Ils vont vraiment me manquer.,Ad xaqeɣ mliḥ fell-asen.,Ad iyi-xeṣṣen s tideț.
Ils vont vraiment me manquer.,Ad ten-cedhiɣ s waṭas.,Ad iyi-xeṣṣen s tideț.
Elles vont vraiment me manquer.,Ad xaqeɣ mliḥ fell-asent.,Ad iyi-xussent s tidet.
Elles vont vraiment me manquer.,Ad tent-cedhiɣ s waṭas.,Ad iyi-xeṣṣent s tideț.
Tom a dit qu'il n'était pas malade.,Tom yenn-a belli ur yehlik ara.,Tom yenna-d belli ur yuḍen ara.
"J'ai fait une erreur, non ?","Ɣelḍeɣ, anaɣ?","Xedmeɣ tuccḍa, neɣ ala?"
C'est une phrase simple.,D tafyirt taḥerfit.,D tafyirt taḥerfit.
Tom adore les enfants.,Tom iḥemmel arrac.,Tom iḥemmel arrac.
Sami va aimer la soupe de Layla.,Ad as-teɛǧeb ccerba n Layla i Sami.,Sami ad iḥemmel asfaylu n Layla.
Personne ne veut que tu le fasses.,Yiwen ur ibɣi ad t-txedmeḍ.,Yiwen ur yebɣi a t-txedmeḍ.
"Le jour suivant, Tom est arrivé.","Azekka-nni, yewweḍ-d Tom.","Azekka-nni, yusa-d Tom."
Il me faut trois heures pour le rédiger.,Laqent-iyi tlata n sswayeɛ i wakken ad t-fakeɣ s tira.,Isefq-iyi tlata n sswayeɛ iwakken ad t-aruɣ.
Tom n'était pas rasé.,Tom ur yekkis ara tamart-is.,Tom ur iḥeffef ara.
"Ne vous inquiétez pas les gars, je m'en occupe.","Ur tqelliqet ara iman-nwen ay arrac, ad d-lhuɣ yid-s.","Ur tthebbirt ara a yarrac, d nekk ara d-yelhun yis-s."
Les hommes seront de plus en plus grands !,Irgazen simmal ttuɣalen d imeqqṛanen.,Irgazen ad ttimɣuren simmal simmal!
Est-ce les tiens ?,D ayla-k?,D wid-ak?
J'étais dans mon appartement.,Lliɣ deg uxxam-iw.,Lliɣ deg uxxam-iw.
C'est presque pareil.,Meḥsub kifkif.,Qrib d kifkif.
À quelle heure ouvrent-ils ?,Ɣef acḥal ssaɛa ara ldin?,Melmi i d-tteldayen?
Maintenant tout va bien.,Tura kullec igerrez.,Tura kullec yelha.
Maintenant tout va bien.,Tura kullec yelha.,Tura kullec yelha.
Tu es comme ta sœur.,Kečč akka am wettma-k.,Kečč am weltma-k
Quelle est ta chanson d'amour favorite ?,Anita i d taɣect n tayri i tḥemmleḍ?,D acu i d tizlit n tayri i tḥemmleḍ akk?
Quelle est ta chanson d'amour préférée ?,Anita i d taɣect n tayri akk i tḥemmleḍ?,Anta taɣect n tayri i tḥemmleḍ ugar?
Dis-lui que je suis fatigué.,Ini-yas belli ɛyiɣ.,Ini-as belli ɛyiɣ.
Il y a des gens qui croient en une vie éternelle après la mort.,Llan yemdanen i yettamnen s tudert n dayem deffir n tmettant.,Llan medden i iumnen s tudert n lebda deffir lmut.
Nous irons en Italie l'année prochaine.,Ad nṛuḥ ar Ṭelyan aseggas i d-iteddun.,A n-ṛuḥ ɣer Ṭelyan aseggas i d-iteddun.
Vous le ferez facilement.,Ad t-txedmem s sshala.,A t-txedmem s sshala.
Vous y arriverez facilement.,Ad tawḍem s sshala.,Aț-țawḍem s sshala.
N'oublie pas de réfléchir avant de parler.,Ur tettuy ara ad tmeyyzeḍ uqbel ad d-tmeslayeḍ.,Ur tettu ara ad txemmemḍ uqbel ad temmeslayeḍ.
Je ne pense pas que je veuille être ici.,Ur ugaɣ ara dakken bɣiɣ ad iliɣ da.,Ur ɣileɣ ara belli bɣiɣ ad iliɣ dagi.
Je vis en Australie.,Ttidireɣ deg Ustralia.,Zdeɣ di Ustṛalya.
Tu es comme ta sœur.,Tmugeḍ am weltma-k.,Kečč am weltma-k
"Ce jour-là, il faisait gris et Tom n'avait pas envie de sortir.","Ass-nni, d agfur, dɣa Tom ur yebɣi ara ad yeffeɣ.","Ass-nni, lhal d ameddaɣ u Tom ur yebɣi ara ad yeffeɣ."
Le chien aboya sur Tom.,Yesseglef-d uydi ɣef Tom.,Iseglef uydi ɣef Tom.
Il a entendu le chien aboyer.,Yesla i uydi yesseglaf.,Isla i uqjun yesseglaf.
"Le lendemain, Tom est arrivé.","Azekka-nni, yewweḍ-d Tom.","Azekka-nni, yusa-d Tom."
Je pose ma main sur ton cœur.,Ad serseɣ afus-iw ɣef ul-ik.,Srusuɣ afus-iw ɣef wul-ik.
Je pose ma main sur ton cœur.,Ad serseɣ afus-iw ɣef ul-im.,Srusuɣ afus-iw ɣef wul-ik.
Tom pige très vite.,Tom igezzu s temɣawla.,Tom ifhem dɣya.
Qu'est-ce qu'on doit acheter ?,D acu ara ad d-naɣ?,D acu i d-ilaq ad n-naɣ?
Donne du temps au temps.,Efk akud i wakud,Efk lweqt i lweqt.
Ne laisse pas sortir le chat.,Ur ttaǧa ara amcic ad yeffeɣ,Ur ttaǧǧa ara amcic ad iffeɣ.
Non ! Il n'aime pas l'eau !,Ala! Ur iḥemmel ara aman!,Ala! Ur iḥemmel ara aman!
Judy aime danser.,Judy tḥemmel cḍeḥ.,Judy tḥemmel ccḍeḥ.
Allez ! Lève-toi !,Aya! Kker!,Ayya! Kker!
Je ne peux pas marcher.,Ur zmireɣ ara ad lḥuɣ.,Ur zmireɣ ara ad dduɣ.
Ne laisse pas sortir le chat.,Ur ttaǧa ara amcic ad yeffeɣ.,Ur ttaǧǧa ara amcic ad yeffeɣ.
J'ai deux mains.,Sɛiɣ sin ifassen.,Ɣur-i sin yifassen.
"Il est tard, partons !","Iṛuḥ lḥal, ad nruḥ!","Yezwer lḥal, a nruḥ!"
"Il est tard, allons-y !","Iṛuḥ lḥal, iyaw ad nruḥ!","Iɛedda lḥal, aya nruḥ!"
Les chiens aboyaient toute la nuit.,Aqjun iseglef iḍ kammel.,Iqjan seglafen iḍ kamel.
Ses chiens aboient.,Iqjan-agu seglafen.,Iqjan-is sseglafen.
Leurs chiens aboient.,Iqjan-nsen seglafen.,Iḍan-nsen seglafen.
Le premier problème étant la lecture.,Ugur amenzu d taɣuri.,Ugur amezwaru d tiɣri.
Nasy ajoute des phrases sur Tatoeba.,Nasy trennu tifyar di Tatoeba.,Nasy yernu tifyar deg Tatoeba.
"Le monde numérique, c'est le futur du Kabyle.",Amaḍal umḍin d imal n teqbaylit.,Amaḍal uṭṭun d imal n teqbaylit.
Nous ne cesserons jamais d'apprendre.,Werǧin ad naḥbes almad.,Werǧin ad nḥebbes almad.
Tu peux parler portugais ?,Tzemreḍ ad tmeslayeḍ tapuṛtugit?,Tzemreḍ ad tmeslayeḍ tapurtugit?
La mer nous a toujours séparés.,Izga lebḥer gar-aneɣ.,Ilel yezga yebḍa-yaɣ.
"J'ai demandé ta main à ton père, il a refusé.",Ḍelbeɣ-kem i baba-m yugi.,"Sutreɣ afus-im i baba-m, yugi."
Même si je suis loin de toi.,Xas akka beɛdeɣ fell-am.,Ɣas akken beɛdeɣ fell-ak.
C'est toi que mon cœur souhaite.,Ul-iw d kem i yessaram.,D kečč i yebɣa wul-iw.
Aide-moi à apprendre à conduire.,Ԑiwen-iyi ad lemdeɣ tanehart.,Ɛiwen-iyi ad lemdeɣ anahay.
Il a dessiné une pomme.,Innuɣ tatefaḥt.,Isunegh teffaḥt.
Tu peux choisir entre ça et ça.,Tzemreḍ ad tferneḍ gar wa wa.,Tzemreḍ ad textireḍ ger wayi d wayi.
Il est amoureux de cette fille.,Iḥemmel taqcict-agi.,Iḥemmel taqcict-agi.
J'aimerais aller au cinéma avec elle.,Bɣiɣ ad ṛuḥeɣ yid-s ɣer sinima.,Bɣiɣ ad dduɣ ɣer ssinima yid-s.
C'est mon programme de radio favori.,D ahil-iw n ṛadyu i ḥemleɣ.,D wagi i d ahil-iw n rradyu i ffeḍleɣ.
Une campagne de sensibilisation au changement climatique est lancée.,Ibda uwelleh n ussefrey ɣef ubeddel anezway.,Tebda yiwet n tmahala n usaki ɣef ubeddel n unezwu.
Comment allons-nous rentrer à la maison ?,Amek ara nekcem ar wexxam?,Amek ara n-uɣal ɣer uxxam?
Notre voiture est là-bas.,Ha-tt-an dihin tkeṛṛust-nneɣ.,Takerrust-nneɣ tella dihin.
L'as-tu aimé aussi ?,Tḥemmleḍ-t daɣen?,Tḥemmleḍ-t daɣen?
Est-ce que cela t'a plu aussi ?,Iɛǧeb-ak daɣen waya?,Iɛjeb-ik daɣen?
Je ne peux pas réfléchir avec le ventre vide.,Ur zmireɣ ara ad xemmeɣ s uɛebbuḍ ilem.,Ur zmireɣ ara ad xemmmeɣ s uɛebbuḍ d ilem.
"« Puis-je parler à Tom, s'il vous plaît ? » « Je suis désolé il vient de sortir. »"," Zemreɣ ad heḍṛeɣ i Tom ma ulac aɣilif ?  - "" Ul amek , tura i yeffeɣ. ""","« Zemreɣ ad mmeslayeɣ d Tom, di leɛnaya-k ? » « Suref-iyi, tura kan i d-iffeɣ. »"
Tom n'est pas le patron de l'entreprise.,Tom mačči d amɛellem n tkebbanit.,Tom mačči d lpatrun n tkebbanit.
Ils ont la même voiture que nous.,Sɛan takeṛṛust am tinna-nneɣ.,Sɛan yiwet n tkarust am tin nneɣ.
La mère de mon amie fait ses courses le lundi.,Yemma-s n temdakelt-iw tqeṭṭu-d ass n letnayen.,Yemma-s n tmeddukkelt-iw ttegg ssuq n letnayen.
Le chat est tombé de la fenêtre.,Yeɣli-d wemcic-nni ɣef ṭṭaq.,Amcic yeɣli-d seg tṭaq.
Que font toutes ces factures ici ?,D acu i xeddment tfakturin-a da?,D acu i xeddment tinfaturin-agi akk dagi?
Je transmets la facture par fax.,Ad ceyyɛeɣ tafakturt-nni s lfaks.,Aznay-d tafakturt s lfaks.
Je transmets la facture par fax.,Ad azneɣ tafakturt-nni s lfaks.,Ttazneɣ tafakturt s lfaks.
Marie n'a pas encore payé la facture.,Ur txelleṣ ara ɛad Marie tafakturt-nni.,Marie ur txelles ara yakan tafakturt.
Marie n'a pas encore payé la facture.,Ur-ɛad txelleṣ Marie tafakturt-nni.,Marie ur txelles ara yakan tafakturt.
Ils m'ont dit qu'il y avait un problème avec la facture.,Nnan-iyi-d belli yella wugur deg tfakturt-nni.,Nnan-iyi-d belli yella wugur deg tfakturt.
Sami dispose de trente jours pour payer la facture.,Yesɛa Sami tlatin n wussan i wakken ad ixelleṣ tafakturt-nni.,Sami yesɛa tlatin n wussan iwakken ad ixelles tafakturt.
Tom a admis s'être trompé sur la facture.,Yesteɛṛef Sami belli yeɣleḍ deg tfakturt-nni.,Tom yestɛerref belli yeɣleḍ deg lfatura.
J'adore les plantes.,Ḥemmleɣ imɣan.,Ḥemmleɣ imɣan.
Marie touchait le bras de Tom pendant qu'elle lui parlait.,Marie tettnal afus n Tom mi ara s-theddeṛ.,Marie tettnal iɣil n Tom akken i s-tettmeslay.
Marie touchait le bras de Tom pendant qu'elle lui parlait.,Tettmas Marie afus n Tom mi ara s-yettmeslay.,Marie tettnal iɣil n Tom akken i s-tettmeslay.
Tom a presque perdu un œil.,Yesṛuḥ Tom meḥsub yiwet n tiṭ.,Tom qrib iṛuḥ-as wallen.
Tom a presque perdu un œil.,Tom yesṛuḥ meḥsub yiwet n tiṭ.,Tom qrib iṛuḥ-as wallen.
"Lève-toi, Tom, tu sais bien que c'est mon fauteuil !",Kker fell-ak a Tom ! Teẓṛiḍ belli d afutay-inu.,"Kker, a Tom, teẓriḍ belli d afute-iw!"
Tom a le sentiment d'avoir fait une grosse bêtise.,Iḥuss-as Tom belli ixdem taxeṣṣart d tameqqṛant.,Tom iḥuss dakken yexdem yiwet n tuccḍa tameqrant.
"Tom, fais attention de ne pas tomber dans le trou.",Ɣur-k ad teɣliḍ deg urmuj-nni a Tom!,"Tom, ḥader ur tɣellid ara deg umruj."
"Tom, fais attention de ne pas tomber dans le trou.",Ɛas iman-ik neɣ ad teɣliḍ deg urmuj-nni ar Tom.,"Tom, ḥader ur tɣellid ara deg umruj."
"Si tu me dis ton prénom, je peux te dire le mien.","Ma tenniḍ-iyi-d isem-is, ad ak-d-iniɣ win-iw.","Ma tenniḍ-iyi-d isem-ik, zemreɣ ad k-iniɣ win-inu."
Elle m'a écrit une lettre d'amour en esperanto.,Tura-yi-d tabrat n tayri s tespiṛantutt,Tura-yi-d tabrat n tayri s tesperantit.
Il se peut que ce soit un mariage.,Izmer d tameɣṛa.,Ahat d tamughra.
Tu t'es assis dans mon fauteuil.,Teqqimeḍ ɣef ufutay-iw.,Teqqimed deg ukursi-w.
La logique est une science abstraite.,Tameẓla d tussna tamadwant.,Tameẓla d tussna tamadwant.
"Le matin, j'ai besoin de café.","Tasebḥit, ttaḥwaǧeɣ ar lqahwa.","Deg ṣbeḥ, ḥwaǧeɣ lqahwa."
Il a un grand restaurant près de la mer.,Yesɛa yiwen n usečču d ameqqṛan rrif n yilel.,Yesɛa asesturan ameqqran tama n lebḥer.
Il a un grand restaurant près de la mer.,Ɣur-s yiwen n usečču d ameqqṛan tama n yilel.,Yesɛa asesturan ameqqran tama n lebḥer.
La cravate de Tom est jaune.,Takrabaṭ n Tom d tawṛaɣt.,Takravat n Tom d tawraɣt.
J'ai deux places pour le concert.,Sɛiɣ sin n imukan i tfaska-nni.,Sɛiɣ sin imukan i ukunsir.
Je n'ai pas pu parler à Tom.,Ur sawḍeɣ ara ad s-heḍṛeɣ i Tom.,Ur zmireɣ ara ad mmeslayeɣ d Tom.
"Le seul responsable, c'est Tom !",Ala Tom i yuksanen.,D Tom kan i d amasay!
Son écriture est belle et lisible.,Tecbeḥ tira-s yerna teshel i tɣuṛi.,Tira-s tucbiḥ u tefrez.
Ils paient bien Tom.,Ttxelliṣen akken iqwem Tom.,Xellsen Tom mliḥ.
N'oublie pas de m'écrire.,"Aru-yi-d, ur tettuy ara!",Ur tettu ara ad iyi-d-tarud.
N'oublie pas de m'écrire.,Ur tettuy ara ad yi-d-taruḍ.,Ur tettu ara ad iyi-d-tarud.
"Lorsque le soleil brille, tout s'éclaircit.","Mi ara d-yali yiṭij, kullec yettṛeqṛiq.","Mi d-yecreq yitij, kulci yettifaw."
Nous aboyons comme des chiens.,Neshewhiw am yeqjan.,Nseglaf am yiqjan.
Nous aboyons comme des chiens.,Nesseglaf am yeqjan.,Nseglaf am yiqjan.
Fantastique !,S tezmert-ik.,D ayen yessewhamen!
Le chien n'arrivait pas à aboyer.,Ur yessaweḍ ara weqjun ad yeshewhew.,Aqjun ur yezmir ara ad iseglef.
Le chien n'arrivait pas à aboyer.,Ur yessaweḍ ara weqjun ad iseglef.,Aqjun ur yezmir ara ad iseglef.
Ce chiot aboie très fort.,Yesseglaf mliḥ weqjun-a.,Aqjun-agi amecṭuḥ iseglaf s lǧehd.
Ce chiot aboie très fort.,Yeshewhiw mliḥ weqjun-a.,Aqzin-agi iseglaf s lǧehd.
Merci d'être venu.,Tanemmirt imi d-tusiḍ.,Tanemmirt imi d-tusiḍ.
"Soudainement, le chien a commencé à aboyer.","Kan akka, yebda weqjun-nni yeshewhiw.","Tasreḍt, aqjun yebda ad iseglef."
"Soudainement, le chien a commencé à aboyer.","Tikkelt kan, yekker uydi-nni ar useglef.","Taswiɛt kan, aqjun yebda ad iseglaf."
Ce chien aboie énormément.,Aqjun-a yeshewhiw aṭas.,Aydi-agi iseglaf aṭas.
Ce chien aboie énormément.,Iseglaf aṭas weqjun-a.,Aydi-agi iseglaf aṭas.
Les chiens commencèrent à aboyer.,Bdan yeqjan-nni ashewhew.,Iqjan bddan ad seglen.
Les chiens commencèrent à aboyer.,Kkren yiḍan-nni ar useglef.,Iqjan bdan ad seglen.
Essayons de nous comprendre l'un l'autre.,Ad neɛreḍ ad nemyegzu gar-aneɣ.,A neɛreḍ ad nemyeffham.
Prenez-en autant que vous voulez.,Awit ayen tebɣam.,Ddem-et anect tebɣam.
Prenez-en autant que vous voulez.,Awi ayen tebɣiḍ.,Ddem-et annect tebɣam.
Comporte-toi bien.,Ddu akken iwata.,Lhu.
Le chien aboyait doucement.,Yeshewhew uqjun-nni s leɛqel.,Aqjun la ittuseg s ttawil.
Voulez-vous vous asseoir ?,Tebɣiḍ ad teqqimeḍ?,Tebɣam a d-teqqimem?
Le chien aboya doucement.,Yeshewhiw uqjun-nni s leɛqel.,Aqjun iseglef s ttawil.
Le chien aboyait-il ?,Yeshewhiw weqjun-nni?,Yella yettseg uydi?
Le chien aboyait-il ?,Yesseglaf weqjun-nni?,Yella yettseg uydi?
J'ai le regret d'annoncer que je ne peux pas venir.,S usḥissef ara d-niɣ d akken ur zmireɣ ara ad d-aseɣ.,Sḥasneɣ ad d-iniɣ belli ur zmireɣ ara ad d-aseɣ.
Les chiens ont commencé à aboyer.,Bdan yeqjan-nni aseglef.,Iqjan bdan ad seglen.
Arrête d'aboyer !,Berka-k aseglef!,Ḥbes aseggeḍ !
Arrête d'aboyer !,Berka-k ashewhew!,Ḥbes useglaf!
Arrêtez d'aboyer !,Berka-ken aseglef!,Berkat aseglaf!
Arrêtez d'aboyer !,Berka-ken ashewhew!,Berkat aseglaf!
Il s'est assis sur la rive du ruisseau.,Yeqqim ar yiri n tasift.,Yeqqim ɣef yiri n yiɣzer.
Je suis vite allé chercher du pain avant la fermeture des magasins.,Ṛuḥeɣ s uɣiwel ad d-aɣeɣ aɣṛum uqbel ad derɛent tḥuna.,Ruḥeɣ s uɣawal ad d-awiɣ aɣrum uqbel ad medlen tḥuna.
Je suis vite allé chercher du pain avant la fermeture des magasins.,Ṛuḥeɣ s uɛijel ad d-aɣeɣ aɣṛum uqbel ad ṣekṛent tḥuna.,Ruḥeɣ s uɣawal ad d-awiɣ aɣrum uqbel ad medlen tḥuna.
Le même mot peut représenter différentes réalités.,Yiwen wawal izmer ad d-isken aṭas n tillawin.,Yiwen n wawal yezmer ad d-isken tilawtin yemgaraden.
Est-ce que vos parents sont avec vous ?,Llan yid-wen yimawlan-nwen?,Imawlan-nwen llan yid-wen?
Es-tu blessée ?,Tjerḥeḍ-d?,Tjerḥeḍ?
Benjamin Franklin était un inventeur et homme politique américain.,Benjamin Franklin yella d amesnulfu yerna d argaz n tsertit n Marikan.,Benjamin Franklin yella d amesnulfu d usertan amarikani.
Ne t'approche pas du feu.,Ur ttqeṛṛib ara ar tmes.,Ur tqeṛṛib ara ɣer tmes.
Ne t'approche pas du feu.,Ur ttaẓ ara ar tmes.,Ur tqeṛṛib ara ɣer tmes.
Ne t'approche pas du feu.,Ur ttadɣaṛay ara ar tmes.,Ur tqeṛṛib ara ɣer tmes.
Ne vous approchez pas du feu.,Ur ttaẓet ara ar tmes.,Ur ttaẓet ara ɣer tmes.
Ne vous approchez pas du feu.,Ur ttedɣaṛayet ara ar tmes.,Ur ttaẓem ara ɣer tmes.
Ne vous approchez pas du feu.,Ur ttqeṛṛibet ara ar tmes.,Ur ttaẓem ara ɣer tmes.
Viendra un jour où vous le regretterez.,Ad d-yas wass anda ara tendemmem.,A d-yas wass ara t-tendmem.
Arrivera un jour où tu le regretteras.,Ad d-yas wass anda ara tendemmeḍ.,A d-yas wass ara t-tendmeḍ.
J'étais dans le jardin tout l'après-midi.,Lliɣ deg tebḥirt tameddit-nni meṛṛa.,Lliɣ deg wurtu tameddit merra.
J'aime celui-là.,Ḥemmleɣ wa.,Ḥemmleɣ winna.
J'aime celle-là.,Ḥemmleɣ ta.,Ḥemmleɣ tinna.
J'ai encore quelques options.,Mazal sɛiɣ kra n tefranin.,Mazal sɛiɣ kra n tefranin.
J'ai encore quelques options.,Sɛiɣ dima kra n tefranin.,Mazal-iyi kra n tefranin.
Je ne pense pas que tu aurais dû faire ça.,Ur nwiɣ ara belli ilaq-ak ad txedmeḍ annect-a.,Ur ɣileɣ ara ilaq ad tgeḍ aya.
Je ne pense pas que tu aurais dû faire ça.,Ur ḥṣiɣ ara belli ilaq ad txedmeḍ annect-a.,Ur ɣileɣ ara belli ilaq ad t-txedmed aya.
Je ne pense pas que vous auriez dû faire cela.,Ur ḥṣiɣ ara belli ilaq ad txedmem annect-a.,Ur ɣileɣ ara tili yewwi-d fell-awen a t-txedmem.
Je ne pense pas que vous auriez dû faire cela.,Ur nwiɣ ara belli ilaq-awen ad txedmem annect-a.,Ur ɣileɣ ara belli ilaq a t-txedmem aya.
Est-ce les tiennes ?,D ayla-k?,D tid-ak?
Qu'est-ce que t'as répondu ?,D acu i s-terriḍ?,D acu i d-terrid?
Qu'est-ce que t'as répondu ?,D acu i sen-terriḍ?,D acu i d-terrid?
Tu ne manqueras de rien avec moi.,Ur k-ittxuṣṣu walu yid-i.,Ur k-ixuṣṣ wacu yid-i.
Tu ne manqueras de rien avec moi.,Ur kem-ittxuṣṣu walu yid-i.,Ur k-ixuṣṣ wacemma yid-i.
Tu ne manqueras de rien avec moi.,Ur kem-ittxuṣṣu wacemma yid-i.,Ur k-ixuṣṣ wacu yid-i.
Tu ne manqueras de rien avec moi.,Ur kem-ittxuṣṣu ara kra yid-i.,Ur k-ixuṣṣ wacu yid-i.
Thomas détourne de l'argent de la caisse du restaurant.,Yuker-d Thomas idrimen seg texṛiḍt n usečču-nni.,Thomas yuker idrimen seg tsenduqt n lrestura.
Je suis si heureuse de te revoir.,Feṛḥeɣ aṭas i mi k-walaɣ.,Farḥeɣ aṭas mi k-id-waliɣ.
Je suis si heureuse de te revoir.,Feṛḥeɣ aṭas i mi kem-walaɣ.,Ferḥeɣ aṭas imi i k-id-waliɣ tikkelt nniḍen.
Je vous enverrai la facture.,Ad awen-d-ceyyɛeɣ tafakturt-nni.,Ad awen-azneɣ lfatura.
Je t'enverrai la facture.,Ad ak-d-ceyyɛeɣ tafakturt-nni.,Ad ak-d-azneɣ tafakturt.
Peux-tu voir la différence entre ces deux images ?,Tzemreḍ ad twaliḍ amgired yellan gar sant n tugniwin-a?,Tzemreḍ ad twaliḍ amgared ger snat-agi n tugniwin?
Aimes-tu ces chansons ?,Tḥemmleḍ tizlatin-agi?,Tḥemmleḍ tizlatin-agi?
Le premier article est plus structuré que le deuxième.,Amagrad amezwaru yettwaseggem ugar n wis sin.,Amagrad amezwaru yuddes ugar n wis sin.
Il faut traduire le texte de la première leçon.,Yessefk ad tsuqleḍ aḍris n temsirt tamezwarut.,Ilaq ad d-nsuqel aḍris n tamsirt tamezwarut.
Je ne peux pas faire de bruit. Le bébé dort.,Ur zmireɣ ara ad egeɣ lḥes. Ṣebyan yeṭṭes.,Ur zmireɣ ara ad d-geɣ lḥess. Lbebe yeṭṭes.
J'habite à Kobe.,Zedɣeɣ di Kobe.,Zedɣeɣ di Kobe.
Combien d'amis as-tu sur Facebook ?,Acḥal n yimdukal i tesɛiḍ di Facebook?,Acḥal n yimddukkal i tesɛiḍ di Facebook?
Le sucre se dissout dans le café chaud.,Skeṛ ifetti di lqehwa yeḥman.,Ssker yettfessi di lqahwa yeḥman.
J'ai fait pipi dans la rue.,Xraɣ deg ubrid.,Bbelex deg uzniq.
Angela n'est pas un ange.,Angela mačči d aneǧlus.,Angela mačči d lmelk.
J'écrivis un livre sur la Chine.,Uriɣ adlis ɣef Cinwa.,Uriɣ adlis ɣef Ccinwa.
J'étais très fatiguée aujourd'hui.,Ɛyiɣ nezzeh ass-agi.,Lliɣ ɛyiɣ aṭas ass-a.
Le père n'est jamais présent.,Ababat werǧin yella.,Baba ur d-yettili ara maḍi.
Le chat est tombé de la fenêtre.,Amcic yaɣli-d seg usfayly.,Amcic yeɣli-d seg tṭaq.
Il y a des informations à l'extérieur du texte.,Tella talɣut beṛṛa n wuḍris.,Llan isallen beṛṛa n uḍris.
Quelqu'un aurait-il déjà affronté un ogre ?,Yella wass ideg yemceččaw yiwen d uwaɣzen?,Yella win yellan yakan i d-yemmugren waɣzen?
Pourquoi ne vous asseyez-vous pas ? La place est libre.,Acuɣeṛ ur tettɣamam ara ? Amkan-nni d ilem.,Ayɣer ur teqqimem ara? Amkan d ilem.
J'ai beaucoup d'amis qui peuvent bien parler le portugais.,Sɛiɣ aṭas n yemdukal i izemren ad heḍṛen akken iwata tapuṛtugit.,Sɛiɣ aṭas n yimddukkal izemmren ad mmeslayen mliḥ tapurtugit.
T'es-tu déjà battu avec un monstre ?,Yella was ideg tennuɣeḍ d uwaɣzen?,Tennuɣeḍ yakan d lwaḥch?
Le rêve que Bernadette faisait depuis quelque temps était d'acheter une maison au Maroc.,Asirem i tesɛa Berbadette aṭas-aya d tiɣin n yiwen n wexxam di Lmeṛṛuk.,"Targit i d-tettargu Bernadette aya d ayen, d ad d-taɣ axxam di Lmerruk."
Je vais apporter de la tarte à ma mère.,Ad as-d-awiɣ tameqṛuḍt i yemma.,Ad awiɣ tarte i yemma.
Le trait d'union est obligatoire à la forme affirmative de l'impératif.,Ilaq ujeṛṛiḍ n tuqqna i telɣa tilawt n usendeh.,Ajerriḍ n tuqqna d amezzwer deg talɣa n usentem n unabaḍ.
